x,y
452,1045.1808
453,1019.5159
454,1091.0235
455,1039.1244
456,1079.9573
457,1050.2037
458,1079.5282
459,1026.4138
460,1044.1404
461,1049.9287
462,1019.8321
463,1049.436
464,1081.1294
465,1084.4766
466,1086.7747
467,1067.8253
468,1050.017
469,1110.6002
470,989.8768
471,1079.3539
472,1052.027
473,1022.5903
474,1016.2647
475,1018.9703
476,1080.0996
477,1053.8421
478,1046.4919
479,1081.815
480,1078.5087
481,991.9501
482,1049.5734
483,999.0118
484,983.9021
485,1055.071
486,1040.6947
487,994.6548
488,1046.7366
489,1019.2235
490,1073.6456
491,965.0381
492,1050.3171
493,930.185
494,869.2789
495,931.1657
496,906.2425
497,953.3905
498,990.3941
499,1020.0815
500,1023.5684
501,1016.0615
502,994.6461
503,982.7146
504,1054.5559
505,1003.5017
506,1033.5898
507,994.5569
508,1073.7874
509,1052.0149
510,1049.9176
511,1031.7193
512,1039.0654
513,1049.8249
514,1018.2797
515,1057.3288
516,1014.1814
517,1087.9214
518,1058.3536
519,1062.6414
520,1087.3534
521,1043.2767
522,1021.8882
523,1079.0298
524,1092.6245
525,1036.4941
526,1050.2236
527,1080.3258
528,1020.4267
529,1080.6099
530,1047.6395
531,1050.8179
532,1053.4993
533,1054.4516
534,1072.4357
535,1049.3399
536,1080.3064
537,1021.0729
538,1058.397
539,1071.2313
540,1049.8798
541,1080.3853
542,1080.0704
543,1018.8262
544,1080.2039
545,1050.5633
546,1050.1953
547,1111.2234
548,1091.9009
549,1045.3904
550,1020.6803
551,1010.2491
552,1022.752
553,1076.8284
554,1103.1702
555,1065.2264
556,1078.124
557,1074.6858
558,1049.2789
559,1018.4979
560,1051.2924
561,990.2181
562,929.6164
563,887.4142
564,912.9729
565,959.6775
566,990.0469
567,1020.3332
568,999.9024
569,949.8747
570,1020.3158
571,1019.9983
572,1019.3788
573,990.1877
574,1049.8819
575,1049.9228
576,1080.423
577,1080.0887
578,987.8841
579,972.1308
580,949.2355
581,903.3285
582,987.5443
583,899.4251
584,960.1075
585,899.676
586,967.5299
587,982.8301
588,987.998
589,1023.3935
590,1018.8309
591,998.3366
592,1013.8657
593,987.9868
594,1055.1203
595,990.7032
596,1049.8204
597,1014.1406
598,1033.5982
599,1006.5522
600,1049.6062
601,990.4075
602,1079.6538
603,1109.7951
604,1050.1895
605,1049.9736
606,1049.6203
607,990.2132
608,1050.6438
609,1048.7052
610,990.9875
611,1050.1352
612,989.9837
613,1049.9553
614,1049.9932
615,1022.992
616,1016.8949
617,1050.246
618,1019.5054
619,1020.0675
620,988.3234
621,1022.2622
622,994.158
623,987.2448
624,988.5398
625,999.0093
626,980.8664
627,970.4526
628,1009.1552
629,1050.27
630,986.5278
631,994.981
632,1054.3232
633,1013.8278
634,1020.6094
635,1020.1986
636,1027.6628
637,1041.5055
638,1050.4384
639,989.8044
640,1020.5726
641,1049.0362
642,1029.6517
643,950.4528
644,1048.6298
645,1051.691
646,1049.9149
647,1030.762
648,1039.7608
649,1019.2331
650,1080.3261
651,1020.0424
652,1050.3423
653,1079.0013
654,1020.9166
655,1025.1675
656,1044.9217
657,1049.8619
658,930.3684
659,899.684
660,928.548
661,931.6405
662,959.6578
663,960.5379
664,988.8693
665,1049.4992
666,1053.6832
667,992.8502
668,1044.4772
669,999.2271
670,1051.8155
671,1005.0373
672,1016.3511
673,1031.6728
674,1048.4142
675,1018.6217
676,1048.2648
677,1080.3608
678,995.7069
679,1104.8705
680,1079.8798
681,1080.3083
682,1027.2024
683,1102.3448
684,1080.1687
685,1022.7307
686,1075.8482
687,1049.8403
688,1081.4183
689,1079.8992
690,1049.9
691,1049.8775
692,1049.8119
693,1027.1458
694,1043.2475
695,1078.0162
696,1051.9251
697,1057.2196
698,1013.0198
699,1062.4855
700,1072.6091
701,1053.9078
702,1040.7466
703,1080.2001
704,1050.1782
705,1019.5699
706,1080.5855
707,1019.54
708,1077.1268
709,1052.8315
710,1019.95
711,1049.756
712,1050.891
713,1049.6868
714,1020.1882
715,1049.4959
716,1050.2202
717,1049.6224
718,1028.0998
719,1011.5917
720,1050.7363
721,1019.6823
722,1022.32
723,1017.1859
724,1058.283
725,1041.7774
726,1000.6056
727,1050.0493
728,1009.4245
729,1020.2097
730,1049.9014
731,1049.8034
732,1020.3204
733,1050.0917
734,1020.0877
735,1079.8387
736,1020.8766
737,1019.37
738,1049.5762
739,1020.7573
740,1049.267
741,1054.9156
742,980.3558
743,1054.981
744,992.321
745,1066.0616
746,1031.4378
747,1049.8977
748,989.6576
749,1081.8597
750,1054.2318
751,1044.6983
752,1018.8858
753,1050.8942
754,1049.8421
755,990.1617
756,1019.9965
757,1018.6639
758,1053.6751
759,1060.2954
760,986.8482
761,1040.2862
762,962.8496
763,1041.7116
764,995.4511
765,1050.4907
766,1018.9075
767,994.2447
768,994.534
769,1011.8034
770,990.3266
771,1019.7299
772,1019.3766
773,1021.4431
774,989.698
775,1058.8465
776,980.7667
777,1019.9052
778,990.4103
